_date,total_views,unique_views
2022-03-16,3,2
2022-07-17,1,1
2022-12-04,1,1
2023-01-02,6,1
2023-01-29,1,1
2023-03-08,2,1
2023-11-03,2,1
2024-01-27,1,1
2024-02-16,1,1
2024-04-11,1,1
2024-06-26,2,2
2024-08-21,2,2
2024-09-09,1,1
2024-10-29,2,2
2024-11-30,1,1
2024-12-12,1,1
2025-07-11,5,3
2025-07-16,5,3
2025-07-27,21,6
2025-08-17,1,1
2025-09-02,2,2
2025-09-03,1,1
2025-09-07,1,1
2025-09-14,1,1
2025-09-27,1,1
2025-10-07,9,9
2025-10-20,1,1
2025-10-24,1,1
2025-10-26,1,1
2025-11-05,1,1
2025-12-02,1,1
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
